time_signature,speechiness,danceability,duration_ms,energy,track_href,mode,uri,type,track_album_release_date,analysis_url,id,instrumentalness,valence,key,tempo,loudness,acousticness,liveness,Popularity_Type
4.0,0.0438,0.567,171785.0,0.606,https://api.spotify.com/v1/tracks/4aPX3IT9cskOWmeZvOYc5s,0.0,spotify:track:4aPX3IT9cskOWmeZvOYc5s,audio_features,2024-11-15,https://api.spotify.com/v1/audio-analysis/4aPX3IT9cskOWmeZvOYc5s,4aPX3IT9cskOWmeZvOYc5s,0.0,0.314,10.0,123.006,-6.543,0.0801,0.0686,High
4.0,0.317,0.518,223522.0,0.624,https://api.spotify.com/v1/tracks/0eFp7ULoYiRgaYZH0xq79i,1.0,spotify:track:0eFp7ULoYiRgaYZH0xq79i,audio_features,2024-10-25,https://api.spotify.com/v1/audio-analysis/0eFp7ULoYiRgaYZH0xq79i,0eFp7ULoYiRgaYZH0xq79i,1.38e-06,0.705,1.0,175.94,-3.469,0.361,0.0612,Low
4.0,0.106,0.927,230823.0,0.935,https://api.spotify.com/v1/tracks/4m8vRm7j9mt7eGb8baKt37,1.0,spotify:track:4m8vRm7j9mt7eGb8baKt37,audio_features,2012-03-10,https://api.spotify.com/v1/audio-analysis/4m8vRm7j9mt7eGb8baKt37,4m8vRm7j9mt7eGb8baKt37,0.0,0.912,10.0,131.055,-3.951,0.135,0.0728,Low
4.0,0.0371,0.491,212133.0,0.832,https://api.spotify.com/v1/tracks/3DyVz6qqitxtM5w7YM53ej,0.0,spotify:track:3DyVz6qqitxtM5w7YM53ej,audio_features,2007-08-08,https://api.spotify.com/v1/audio-analysis/3DyVz6qqitxtM5w7YM53ej,3DyVz6qqitxtM5w7YM53ej,0.822,0.375,2.0,164.852,-5.606,0.00287,0.0436,Low
4.0,0.0366,0.783,160012.0,0.633,https://api.spotify.com/v1/tracks/1osPz2rgtdywUR6ut6eIMU,0.0,spotify:track:1osPz2rgtdywUR6ut6eIMU,audio_features,2023-11-30,https://api.spotify.com/v1/audio-analysis/1osPz2rgtdywUR6ut6eIMU,1osPz2rgtdywUR6ut6eIMU,2.58e-05,0.886,0.0,125.011,-6.052,0.0718,0.059,Low
4.0,0.0398,0.639,237507.0,0.628,https://api.spotify.com/v1/tracks/5TRPicyLGbAF2LGBFbHGvO,0.0,spotify:track:5TRPicyLGbAF2LGBFbHGvO,audio_features,2007-09-11,https://api.spotify.com/v1/audio-analysis/5TRPicyLGbAF2LGBFbHGvO,5TRPicyLGbAF2LGBFbHGvO,0.0,0.43,6.0,90.482,-7.578,0.0381,0.386,High
4.0,0.0648,0.684,208719.0,0.907,https://api.spotify.com/v1/tracks/3kefCqPLw1TZejAlSzRNAl,1.0,spotify:track:3kefCqPLw1TZejAlSzRNAl,audio_features,2023-01-24,https://api.spotify.com/v1/audio-analysis/3kefCqPLw1TZejAlSzRNAl,3kefCqPLw1TZejAlSzRNAl,0.000175,0.336,8.0,115.087,-3.949,0.346,0.112,Low
4.0,0.0443,0.808,222293.0,0.92,https://api.spotify.com/v1/tracks/0rycni6vwYWlKc7d1FrVI6,1.0,spotify:track:0rycni6vwYWlKc7d1FrVI6,audio_features,2002-03-08,https://api.spotify.com/v1/audio-analysis/0rycni6vwYWlKc7d1FrVI6,0rycni6vwYWlKc7d1FrVI6,2.11e-06,0.973,4.0,98.057,-5.508,0.211,0.268,Low
4.0,0.386,0.627,209160.0,0.858,https://api.spotify.com/v1/tracks/1ga4PztXOIw1yBbdUt2X8v,0.0,spotify:track:1ga4PztXOIw1yBbdUt2X8v,audio_features,2022-08-26,https://api.spotify.com/v1/audio-analysis/1ga4PztXOIw1yBbdUt2X8v,1ga4PztXOIw1yBbdUt2X8v,0.0,0.342,11.0,92.523,-2.824,0.263,0.21,High
4.0,0.0852,0.877,145911.0,0.685,https://api.spotify.com/v1/tracks/6nK5Zt2RI6xqEaU8CgMojZ,1.0,spotify:track:6nK5Zt2RI6xqEaU8CgMojZ,audio_features,2023-06-30,https://api.spotify.com/v1/audio-analysis/6nK5Zt2RI6xqEaU8CgMojZ,6nK5Zt2RI6xqEaU8CgMojZ,0.00125,0.748,2.0,116.016,-5.099,0.358,0.135,Low
